Ligand_SMILES,IC50 (nM)
NCc1ccc(COC(=O)[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)Cc2cccc(c2)C(=O)OCc2ccccc2)cc1,1340
OC(=O)CC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,1340
OC(=O)c1c(CCS)cccc1-c1ccccc1,1400
OC(=O)CCCCS,1400
OC(=O)CCC(C(O)=O)P(O)(O)=O,1400
OC(=O)C(CCCS)Cc1ccccc1,1400
OC(=O)CC[C@@H](CP(O)(=O)Cc1c(F)c(F)c(F)c(F)c1F)C(O)=O,1400
OC(=O)CCCCS,1400
O=C(Cc1cccc(c1)C(=O)OCc1ccccc1)N1[C@@H]([C@H](Cc2ccccc2)C1=O)C(=O)OCc1ccccc1,1430
O=C(Cc1cccc(c1)C(=O)OCc1ccccc1)N1[C@@H]([C@H](Cc2ccccc2)C1=O)C(=O)OCc1ccccc1,1430
NCCCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,1470
O=C(OC[C@@H]1[C@H](Cc2ccccc2)C(=O)N1C(=O)c1ccccc1)c1ccccc1,1590
OC(=O)C(CCCS)Cc1ccccc1C(O)=O,1700
OC(=O)Cc1c(C(O)=O)n(Cc2cccc(c2)C(O)=O)c2ccccc12,1700
[O-]C(=O)CC[C@H](NP([O-])(=O)OCCNC(=O)c1ccccc1)C([O-])=O,1800
OC(=O)C(CCCS)Cc1cccc(c1)C#N,1800
